iter	RMSE
0	8.731835823
1	8.104691764
2	7.556998698
3	7.091993647
4	6.639620265
5	6.213193777
6	5.87101287
7	5.54459885
8	5.256782013
9	4.975812936
10	4.726935762
11	4.508701308
12	4.331585571
13	4.167697105
14	4.037012234
15	3.872781126
16	3.751149331
17	3.653727498
18	3.539779641
19	3.469451932
20	3.383387862
21	3.309759538
22	3.242673586
23	3.194223304
24	3.154247023
25	3.109018949
26	3.062221472
27	3.015416014
28	2.974026436
29	2.941999536
30	2.914843621
31	2.879423064
32	2.859393556
33	2.835919315
34	2.817441438
35	2.795252973
36	2.77856902
37	2.760050563
38	2.741681806
39	2.728369434
40	2.713839735
41	2.702026687
42	2.691293755
43	2.679360247
44	2.667058134
45	2.658907572
46	2.636988412
47	2.625949231
48	2.59971277
49	2.587105371
50	2.58013392
51	2.567316918
52	2.559009798
53	2.545736871
54	2.534610565
55	2.52920193
56	2.522742496
57	2.510321671
58	2.504647158
59	2.498416978
60	2.49296582
61	2.476209469
62	2.459882359
63	2.455888524
64	2.450397299
65	2.445908537
66	2.439885672
67	2.431404474
68	2.427442131
69	2.419925567
70	2.413287091
71	2.405278141
72	2.393452644
73	2.387153387
74	2.384910178
75	2.366287199
76	2.355012554
77	2.343693052
78	2.339665388
79	2.333424521
80	2.323393552
81	2.315860406
82	2.308704176
83	2.303605213
84	2.29698525
85	2.29294647
86	2.285695353
87	2.278149154
88	2.266639854
89	2.259791428
90	2.250316436
91	2.246631783
92	2.243087264
93	2.233360902
94	2.221653617
95	2.218142687
96	2.214122165
97	2.208404442
98	2.202778596
99	2.197265437
100	2.189852151
101	2.182729619
102	2.178037796
103	2.171171454
104	2.167749285
105	2.163686956
106	2.160342226
107	2.156144715
108	2.152082066
109	2.14947744
110	2.145423498
111	2.140862386
112	2.138222061
113	2.135065492
114	2.130998411
115	2.127729021
116	2.115440234
117	2.107965837
118	2.104580593
119	2.101519585
120	2.097825648
121	2.095683859
122	2.091601993
123	2.088964957
124	2.084165554
125	2.07877812
126	2.07497176
127	2.06948823
128	2.065541567
129	2.06230465
130	2.056430575
131	2.047687603
132	2.046076819
133	2.044400964
134	2.042060238
135	2.039177335
136	2.034652309
137	2.029150041
138	2.026580768
139	2.025117888
140	2.022134398
141	2.014930593
142	2.013713921
143	2.008220841
144	2.003311872
145	1.998947829
146	1.996820087
147	1.993796621
148	1.990333132
149	1.989129177
150	1.987201329
151	1.986990873
152	1.983830345
153	1.979887941
154	1.978300726
155	1.973287463
156	1.972899353
157	1.965866213
158	1.965533538
159	1.961089753
160	1.95875029
161	1.953206476
162	1.950751642
163	1.944797577
164	1.94329152
165	1.94135768
166	1.940763969
167	1.937384626
168	1.937225116
169	1.933121999
170	1.93156759
171	1.929197832
172	1.928820653
173	1.924914791
174	1.922484385
175	1.921567463
176	1.921429304
177	1.915919203
178	1.911490965
179	1.908455907
180	1.90735595
181	1.905124188
182	1.901010828
183	1.899332014
184	1.89548727
185	1.892255994
186	1.890140806
187	1.887147974
188	1.884427548
189	1.882854211
190	1.882153499
191	1.879797997
192	1.877463377
193	1.877204825
194	1.8747878
195	1.871099941
196	1.869029578
197	1.866426654
198	1.862924685
199	1.862334135
