iter	Passed	Remaining
0	271	54079
1	283	28035
2	287	18888
3	299	14659
4	335	13086
5	347	11231
6	351	9687
7	361	8666
8	365	7749
9	398	7570
10	402	6910
11	412	6469
12	417	6007
13	426	5667
14	431	5316
15	435	5002
16	453	4883
17	458	4638
18	463	4412
19	472	4254
20	476	4064
21	503	4076
22	508	3910
23	543	3982
24	547	3831
25	554	3712
26	559	3581
27	569	3500
28	574	3385
29	584	3314
30	588	3210
31	598	3143
32	603	3051
33	613	2997
34	618	2913
35	629	2865
36	633	2789
37	646	2755
38	650	2685
39	659	2639
40	664	2575
41	668	2513
42	677	2471
43	681	2415
44	685	2359
45	695	2329
46	700	2280
47	711	2252
48	716	2206
49	726	2180
50	730	2135
51	737	2097
52	762	2115
53	773	2090
54	777	2049
55	780	2008
56	873	2190
57	877	2149
58	890	2128
59	960	2241
60	972	2215
61	1041	2318
62	1045	2274
63	1057	2247
64	1061	2204
65	1073	2179
66	1210	2403
67	1221	2371
68	1225	2326
69	1229	2283
70	1239	2252
71	1257	2236
72	1270	2210
73	1274	2170
74	1284	2141
75	1288	2102
76	1292	2064
77	1301	2036
78	1306	2000
79	1317	1975
80	1322	1943
81	1327	1910
82	1341	1891
83	1346	1859
84	1357	1837
85	1371	1817
86	1375	1786
87	1394	1774
88	1405	1752
89	1410	1723
90	1438	1723
91	1457	1710
92	1472	1694
93	1477	1666
94	1481	1637
95	1486	1610
96	1497	1590
97	1501	1563
98	1513	1544
99	1530	1530
100	1535	1505
101	1544	1484
102	1548	1458
103	1557	1437
104	1562	1413
105	1566	1389
106	1591	1383
107	1596	1359
108	1607	1341
109	1611	1318
110	1616	1295
111	1628	1279
112	1638	1261
113	1642	1239
114	1647	1217
115	1658	1200
116	1662	1179
117	1673	1163
118	1678	1142
119	1689	1126
120	1693	1105
121	1702	1088
122	1707	1069
123	1712	1049
124	1720	1032
125	1725	1013
126	1731	995
127	1736	976
128	1740	957
129	1749	942
130	1753	923
131	1758	905
132	1767	890
133	1774	873
134	1791	862
135	1797	846
136	1802	828
137	1806	811
138	1810	794
139	1822	780
140	1826	764
141	1835	749
142	1840	733
143	1851	719
144	1855	703
145	1861	688
146	1869	673
147	1873	658
148	1886	645
149	1890	630
150	1901	616
151	1905	601
152	1916	588
153	1920	573
154	1932	560
155	1936	546
156	1948	533
157	1953	519
158	1962	506
159	1967	491
160	1972	477
161	1982	465
162	1987	451
163	1998	438
164	2003	425
165	2013	412
166	2017	398
167	2028	386
168	2032	372
169	2037	359
170	2041	346
171	2046	333
172	2054	320
173	2059	307
174	2070	295
175	2075	282
176	2080	270
177	2085	257
178	2089	245
179	2100	233
180	2104	220
181	2114	209
182	2118	196
183	2123	184
184	2134	173
185	2138	160
186	2149	149
187	2153	137
188	2165	126
189	2170	114
190	2183	102
191	2187	91
192	2195	79
193	2200	68
194	2204	56
195	2235	45
196	2244	34
197	2248	22
198	2252	11
199	2262	0
